-0.999 1.5 0.375 -0.375 
-0.997 1.499285 0.37587719 -0.3731432 
-0.995 1.4993474 0.3759721 -0.37170424 
-0.993 1.4994921 0.37597994 -0.37033471 
-0.991 1.4996416 0.37597794 -0.36899619 
-0.989 1.4997875 0.37597468 -0.36768466 
-0.987 1.4999288 0.3759711 -0.36640005 
-0.985 1.5000654 0.37596726 -0.36514289 
-0.983 1.5001972 0.37596316 -0.36391389 
-0.981 1.5003243 0.37595876 -0.36271397 
-0.979 1.5004466 0.37595401 -0.36154418 
-0.977 1.5005639 0.37594888 -0.36040574 
-0.975 1.5006763 0.37594332 -0.35930004 
-0.973 1.5007837 0.37593727 -0.35822855 
-0.971 1.5008858 0.37593068 -0.35719286 
-0.969 1.5009828 0.3759235 -0.35619461 
-0.967 1.5010743 0.37591567 -0.35523545 
-0.965 1.5011604 0.37590714 -0.35431702 
-0.963 1.501241 0.37589785 -0.35344085 
-0.961 1.501316 0.37588776 -0.35260836 
-0.959 1.5013853 0.37587681 -0.35182076 
-0.957 1.5014489 0.37586498 -0.35107903 
-0.955 1.5015068 0.37585222 -0.35038387 
-0.953 1.5015591 0.37583852 -0.34973568 
-0.951 1.5016058 0.37582386 -0.34913447 
-0.949 1.501647 0.37580824 -0.34857993 
-0.947 1.5016829 0.37579166 -0.34807135 
-0.945 1.5017137 0.37577413 -0.34760765 
-0.943 1.5017395 0.37575568 -0.34718742 
-0.941 1.5017606 0.37573634 -0.3468089 
-0.939 1.5017772 0.37571615 -0.34647008 
-0.937 1.5017897 0.37569515 -0.34616867 
-0.935 1.5017984 0.3756734 -0.3459022 
-0.933 1.5018035 0.37565095 -0.34566807 
-0.931 1.5018054 0.37562786 -0.34546359 
-0.929 1.5018044 0.37560419 -0.34528604 
-0.927 1.5018007 0.37558001 -0.34513272 
-0.925 1.5017948 0.37555537 -0.34500099 
-0.923 1.5017868 0.37553032 -0.34488832 
-0.921 1.501777 0.37550494 -0.34479232 
-0.919 1.5017658 0.37547926 -0.34471076 
-0.917 1.5017532 0.37545333 -0.34464158 
-0.915 1.5017395 0.37542721 -0.34458293 
-0.913 1.501725 0.37540092 -0.34453314 
-0.911 1.5017097 0.37537451 -0.34449074 
-0.909 1.5016937 0.37534801 -0.34445445 
-0.907 1.5016773 0.37532143 -0.34442315 
-0.905 1.5016605 0.37529481 -0.34439592 
-0.903 1.5016434 0.37526816 -0.34437194 
-0.901 1.501626 0.3752415 -0.34435056 
-0.899 1.5016085 0.37521484 -0.34433124 
-0.897 1.5015909 0.3751882 -0.34431354 
-0.895 1.5015731 0.37516157 -0.34429709 
-0.893 1.5015553 0.37513498 -0.34428162 
-0.891 1.5015375 0.37510842 -0.34426691 
-0.889 1.5015196 0.3750819 -0.34425277 
-0.887 1.5015018 0.37505543 -0.34423908 
-0.885 1.5014839 0.375029 -0.34422573 
-0.883 1.5014661 0.37500261 -0.34421265 
-0.881 1.5014482 0.37497628 -0.34419979 
-0.879 1.5014305 0.37495 -0.34418709 
-0.877 1.5014127 0.37492376 -0.34417453 
