-3.0,5.0,4.630746000309724e-134,-5.11683514807636e-136,-8.514582649986669e-136,-1.180999528661613e-135
-2.998999799959992,5.0,3.477203498000214e-133,-3.842234068498058e-135,-6.393604283755286e-135,-8.868130598057724e-135
-2.997999599919984,5.0,2.912375384839257e-132,-3.218133253752709e-134,-5.355079870747062e-134,-7.427664018291198e-134
-2.996999399879976,5.0,2.4432702751789634e-131,-2.699797111222776e-133,-4.4925513827548435e-133,-6.2313094938627795e-133
-2.995999199839968,5.0,2.049739735084995e-130,-2.2649638858128427e-132,-3.768974519508994e-132,-5.2276853718046557e-132
-2.99499899979996,5.0,1.7195664839705675e-129,-1.9001350853376458e-131,-3.1618873407896297e-131,-4.385636203061395e-131
-2.993998799759952,5.0,1.4425541536423233e-128,-1.5940449883283492e-130,-2.6525433113588074e-130,-3.6791599289897625e-130
-2.992998599719944,5.0,1.2101471480929847e-127,-1.3372406585678631e-129,-2.2252124311150586e-129,-3.0864385254793707e-129
-2.991998399679936,5.0,1.0151661817421444e-126,-1.1217897683604751e-128,-1.8666950432374278e-128,-2.589163638449606e-128
-2.990998199639928,5.0,8.51586969397609e-126,-9.410360941418891e-128,-1.5659149707036042e-127,-2.1719722505127925e-127
-2.98999799959992,5.0,7.143544932897782e-125,-7.8939431640743e-127,-1.3135780565118733e-126,-1.8219730648065527e-126
-2.988997799559912,5.0,5.992271240826465e-124,-6.621778015043881e-126,-1.1018855868307114e-125,-1.5283490133146593e-125
-2.987997599519904,5.0,5.02645799333937e-123,-5.554540664045513e-125,-9.242937795549444e-125,-1.2820236594702753e-124
-2.986997399479896,5.0,4.216242332450659e-122,-4.65923478593925e-124,-7.753119368749461e-124,-1.0753812290539682e-123
-2.985997199439888,5.0,3.5365677816263086e-121,-3.908174575396993e-123,-6.503330491230343e-123,-9.020316521085703e-123
-2.98499699939988,5.0,2.9664110110966972e-120,-3.278130438488128e-122,-5.454916350061351e-122,-7.566133826386176e-122
-2.983996799359872,5.0,2.4881329429446816e-119,-2.749612056181211e-121,-4.575444409844866e-121,-6.346279247126884e-121
-2.982996599319864,5.0,2.0869342105200436e-118,-2.3062667404121683e-120,-3.837703257185859e-120,-5.3230096889763e-120
-2.981996399279856,5.0,1.7503981975976265e-117,-1.934374550515402e-119,-3.218862457636005e-119,-4.464658616605251e-119
-2.980996199239848,5.0,1.4681075779374395e-116,-1.6224246153527205e-118,-2.699767541628827e-118,-3.7446581761155224e-118
-2.97999599919984,5.0,1.231322538285852e-115,-1.3607596058331358e-117,-2.2643483949380872e-117,-3.1407186133069215e-117
-2.978995799159832,5.0,1.032710766864404e-114,-1.1412774004534199e-116,-1.8991228202290778e-116,-2.6341396974007177e-116
-2.977995599119824,5.0,8.6612088336377e-114,-9.571807474479625e-116,-1.5927799665666184e-115,-2.2092329242556206e-115
-2.976995399079816,5.0,7.263923243705826e-113,-8.027672052189134e-115,-1.3358307833224825e-114,-1.8528366846320526e-114
-2.975995199039808,5.0,6.091958211201465e-112,-6.732528833441017e-114,-1.1203147193688583e-113,-1.5539094465144947e-113
-2.9749949989998,5.0,5.1089954900531274e-111,-5.646245477609336e-113,-9.395536212039016e-113,-1.303188403897566e-112
-2.973994798959792,5.0,4.2845681935744174e-110,-4.7351552770986855e-112,-7.879452379962715e-112,-1.0929030616615258e-111
-2.972994598919784,5.0,3.593118479745104e-109,-3.9710159556303e-111,-6.607899621739408e-111,-9.165349192294148e-111
-2.971994398879776,5.0,3.0132069212382422e-108,-3.3301360632012595e-110,-5.541454586557787e-110,-7.686158366768388e-110
-2.970994198839768,5.0,2.5268491543394798e-107,-2.792642002616449e-109,-4.647046956434142e-109,-6.445588595631852e-109
-2.96999399879976,5.0,2.1189593260133728e-106,-2.341863059041747e-108,-3.896936115071051e-108,-5.405162796588732e-108
-2.968993798759752,5.0,1.776883152502118e-105,-1.9638154434816914e-107,-3.26785257916764e-107,-4.5326054875478466e-107
-2.967993598719744,5.0,1.4900061673811957e-104,-1.6467694154519272e-106,-2.7402776762614693e-106,-3.800843677091904e-106
-2.966993398679736,5.0,1.2494250570471605e-103,-1.3808861134139028e-105,-2.2978392185941565e-105,-3.1871686451425336e-105
