-3.0,5.0,4.3512427676069984e-134,-4.6604568639276134e-136,-7.691719961269522e-136,-1.0756596318403868e-135,-1.3577443288606615e-135
-2.998999799959992,5.0,3.269078878147473e-133,-3.5014163035051656e-135,-5.778813622515175e-135,-8.081464877593436e-135,-1.0200774665546599e-134
-2.997999599919984,5.0,2.7393979008615603e-132,-2.934109800177637e-134,-4.842518292397658e-134,-6.772089168919607e-134,-8.548022860900178e-134
-2.996999399879976,5.0,2.2992737145779087e-131,-2.4627186345026216e-133,-4.0645238317849925e-133,-5.684091604055373e-133,-7.174704495464022e-133
-2.995999199839968,5.0,1.9298750784424408e-130,-2.0670748247890687e-132,-3.4115445370442725e-132,-4.7709233077553984e-132,-6.022063471400485e-132
-2.99499899979996,5.0,1.6197974329055166e-129,-1.7349644612280606e-131,-2.863422285262848e-131,-4.0043938598739615e-131,-5.054516552232194e-131
-2.993998799759952,5.0,1.3595183068517096e-128,-1.4561892251262327e-130,-2.403325533435738e-130,-3.3609649445175457e-130,-4.24235260373398e-130
-2.992998599719944,5.0,1.1410436508298238e-127,-1.2221876406116094e-129,-2.017124223108984e-129,-2.8208761762981714e-129,-3.560629170891167e-129
-2.991998399679936,5.0,9.576621087457405e-127,-1.0257719242826034e-128,-1.692955470587407e-128,-2.367537733435802e-128,-2.9884058306899935e-128
-2.990998199639928,5.0,8.037392892024314e-126,-8.609076690744805e-128,-1.4208599518092942e-127,-1.987021854858744e-127,-2.508102335799854e-127
-2.98999799959992,5.0,6.745450243328444e-125,-7.225288534066103e-127,-1.1924765889482541e-126,-1.6676358702125417e-126,-2.1049596730052485e-126
-2.988997799559912,5.0,5.661083231498897e-124,-6.063825077247087e-126,-1.0007861843183186e-125,-1.3995636809449127e-125,-1.7665875238593232e-125
-2.987997599519904,5.0,4.7509558127757524e-123,-5.088982859113179e-125,-8.398961578908926e-125,-1.1745647233406086e-124,-1.4825842817938915e-124
-2.986997399479896,5.0,3.987083198984642e-122,-4.270789503462327e-124,-7.0485980121554205e-124,-9.85721201527943e-124,-1.2442179978799047e-123
-2.985997199439888,5.0,3.345973238112926e-121,-3.584084187338075e-123,-5.9152451571208446e-123,-8.272258541044868e-123,-1.0441584900400949e-122
-2.98499699939988,5.0,2.8079054995081554e-120,-3.007745577831726e-122,-4.964043895291149e-122,-6.942037573876811e-122,-8.762524148945337e-122
-2.983996799359872,5.0,2.3563259888095007e-119,-2.524043598138699e-121,-4.165732114838592e-121,-5.8256270920105906e-121,-7.353344153011289e-121
-2.982996599319864,5.0,1.9773389548458022e-118,-2.118095171250295e-120,-3.4957464572267895e-120,-4.8886761132131894e-120,-6.170685601294498e-120
-2.981996399279856,5.0,1.6592802213532865e-117,-1.7774072707104413e-119,-2.93346815749929e-119,-4.1023500291717664e-119,-5.178152195564715e-119
-2.980996199239848,5.0,1.3923589711705854e-116,-1.491493279413491e-118,-2.4615898739168273e-118,-3.4424451392037227e-118,-4.345192974872194e-118
-2.97999599919984,5.0,1.168357005736879e-115,-1.2515509010324166e-117,-2.0655841055244856e-117,-2.888645251089614e-117,-3.6461639634569514e-117
-2.978995799159832,5.0,9.803762622378167e-115,-1.0501917528621155e-116,-1.7332569059536044e-116,-2.4238975656689543e-116,-3.0595403841287767e-116
-2.977995599119824,5.0,8.226268483604045e-114,-8.812143511911518e-116,-1.4543732132779792e-115,-2.0338887139502754e-115,-2.567255288756256e-115
-2.976995399079816,5.0,6.902490954766661e-113,-7.394135291168581e-115,-1.2203423088313056e-114,-1.7066048824420392e-114,-2.1541443287609766e-114
-2.975995199039808,5.0,5.791641730948126e-112,-6.204204425958423e-114,-1.0239537595640603e-113,-1.4319625379233002e-113,-1.8074796394475791e-113
-2.9749949989998,5.0,4.859486824441331e-111,-5.205682575774895e-113,-8.591557450577267e-113,-1.201498425654143e-112,-1.5165785419655835e-112
-2.973994798959792,5.0,4.077293818451706e-110,-4.367793979454909e-112,-7.208689689961146e-112,-1.0081093311866165e-111,-1.2724750591429713e-111
-2.972994598919784,5.0,3.4209481352660557e-109,-3.6647089474910964e-111,-6.048304454225505e-111,-8.458336210031952e-111,-1.0676441664422974e-110
-2.971994398879776,5.0,2.8702111965364998e-108,-3.0747493204725957e-110,-5.0746236583543164e-110,-7.096678578170369e-110,-8.957703157327649e-110
-2.970994198839768,5.0,2.4080977037711163e-107,-2.5797215058431694e-109,-4.2576202210043555e-109,-5.954128616838383e-109,-7.515531268854501e-109
-2.96999399879976,5.0,2.0203529200702678e-106,-2.1643566171908166e-108,-3.57209405807725e-108,-4.99544490993853e-108,-6.30544281905081e-108
-2.968993798759752,5.0,1.695013901375409e-105,-1.8158405250696633e-107,-2.9968964683156685e-107,-4.191051755609511e-107,-5.2901061328188645e-107
-2.967993598719744,5.0,1.4220412008780673e-104,-1.5234193864260618e-106,-2.5142790904843747e-106,-3.516128706048209e-106,-4.438191817668654e-106
-2.966993398679736,5.0,1.1930097326047577e-103,-1.2780685354768732e-105,-2.1093474337088165e-105,-2.9498463491722667e-105,-3.723408134378911e-105
-2.965993198639728,5.0,1.000849295753458e-102,-1.0722145632645815e-104,-1.769602191589196e-104,-2.4747248527686266e-104,-3.1236913238678865e-104
-2.96499299859972,5.0,8.39626785705897e-102,-8.99502045628284e-104,-1.4845542450481935e-103,-2.0760955597127383e-103,-2.6205260096414163e-103
-2.963992798559712,5.0,7.043633974654967e-101,-7.545977499791665e-103,-1.2454015210227558e-102,-1.7416490863827678e-102,-2.198374788349993e-102
-2.962992598519704,5.0,5.908812017798457e-100,-6.330263020392632e-102,-1.044757773368262e-101,-1.4610560324380407e-101,-1.8441994735675924e-101
-2.961992398479696,5.0,4.956743763220226e-99,-5.3103225985005385e-101,-8.76424946896138e-101,-1.2256486400563421e-100,-1.5470592726179642e-100
-2.960992198439688,5.0,4.158011316731056e-98,-4.454643534890139e-100,-7.352021241762013e-100,-1.028153612863475e-99,-1.297773539372385e-99
-2.95999199839968,5.0,3.4879300768341414e-97,-3.736783299082308e-99,-6.1672517863351775e-99,-8.624678765205547e-99,-1.0886387298539032e-98
-2.958991798359672,5.0,2.925787495856151e-96,-3.134554140051537e-98,-5.173322010095743e-98,-7.234703824417936e-98,-9.131908530244249e-98
-2.957991598319664,5.0,2.4542042135679324e-95,-2.6293387698023515e-97,-4.339505583692672e-97,-6.068641638555349e-97,-7.660061073699851e-97
-2.956991398279656,5.0,2.0585979002255516e-94,-2.2055160594811575e-96,-3.640021098100705e-96,-5.090437833650558e-96,-6.425335677159782e-96
-2.955991198239648,5.0,1.726733304040944e-93,-1.849979070064912e-95,-3.053236612645499e-95,-4.269840918371386e-95,-5.389547721023502e-95
-2.95499099819964,5.0,1.4483446491814314e-92,-1.5517305790655569e-94,-2.561002104079075e-94,-3.581468737955643e-94,-4.5206588575941994e-94
-2.953990798159632,5.0,1.2148187558524858e-91,-1.301543648234706e-93,-2.14808926067921e-93,-3.0040250463254826e-93,-3.791788136307309e-93
-2.952990598119624,5.0,1.0189291221433941e-90,-1.0916767780983416e-92,-1.801721367585791e-92,-2.519642067575573e-92,-3.180382158016759e-92
-2.951990398079616,5.0,8.546127754594366e-90,-9.156348747144772e-92,-1.5111788015753254e-91,-2.1133287945562593e-91,-2.6675186950479745e-91
-2.950990198039608,5.0,7.167830176757906e-89,-7.679686638937536e-91,-1.26746798031727e-90,-1.7725080262792414e-90,-2.237322321075115e-90
-2.9499899979996,5.0,6.011722930515775e-88,-6.441063715471389e-90,-1.063043564304953e-89,-1.4866278772826646e-89,-1.8764740425836428e-89
-2.948989797959592,5.0,5.042003353756151e-87,-5.4021248217349425e-89,-8.915753490979977e-89,-1.2468357847967544e-88,-1.5737998176295568e-88
-2.947989597919584,5.0,4.22863529270878e-86,-4.530692212879773e-88,-7.477526616151974e-88,-1.0457049639807174e-87,-1.3199252767046446e-87
-2.946989397879576,5.0,3.5464207398258405e-85,-3.799771074384343e-87,-6.271202292579845e-87,-8.770048767855794e-87,-1.1069859993977108e-86
-2.945989197839568,5.0,2.9742208639636773e-84,-3.186715068682076e-86,-5.259404601207538e-86,-7.355086357753498e-86,-9.283844118623763e-86
-2.94498899779956,5.0,2.4943024033633435e-83,-2.6725261691537644e-85,-4.4107788625412875e-85,-6.168314021830722e-85,-7.785858064635655e-85
