-3.0,5.0,9.922071517997362e-122,-1.1307208197463576e-123,-1.8774735088880087e-123
-2.998999799959992,5.0,7.471032059650803e-121,-8.514063073311835e-123,-1.4136935603316675e-122
-2.997999599919984,5.0,6.273244749375003e-120,-7.149101109469996e-122,-1.18705227443004e-121
-2.996999399879976,5.0,5.276011783594055e-119,-6.012677275140924e-121,-9.983579668977819e-121
-2.995999199839968,5.0,4.437337128537263e-118,-5.056936400997094e-120,-8.396646587581688e-120
-2.99499899979996,5.0,3.731920247510626e-117,-4.253048628022183e-119,-7.061853756308346e-119
-2.993998799759952,5.0,3.1385959073367624e-116,-3.5768961052989683e-118,-5.939155356152725e-118
-2.992998599719944,5.0,2.6395602233102227e-115,-3.0081911118439794e-117,-4.994865202385696e-117
-2.991998399679936,5.0,2.2198358908897155e-114,-2.5298667299819673e-116,-4.200645004719261e-116
-2.990998199639928,5.0,1.8668236188960424e-113,-2.1275657353210145e-115,-3.532655708577845e-115
-2.98999799959992,5.0,1.5699247303346837e-112,-1.7892105742619192e-114,-2.9708434759774757e-114
-2.988997799559912,5.0,1.3202236311268945e-111,-1.5046415547430775e-113,-2.498338929227911e-113
-2.987997599519904,5.0,1.1102206538388829e-110,-1.2653124344306503e-112,-2.100951698668746e-112
-2.986997399479896,5.0,9.336072882167937e-110,-1.0640343049091665e-111,-1.7667451621896887e-111
-2.985997199439888,5.0,7.850770764903005e-109,-8.947601129847772e-111,-1.485678659540732e-110
-2.98499699939988,5.0,6.6016651696162455e-108,-7.524033742298088e-110,-1.2493064802191354e-109
-2.983996799359872,5.0,5.551212161192507e-107,-6.326856555658999e-109,-1.0505246201225705e-108
-2.982996599319864,5.0,4.66783284144735e-106,-5.3200826346548945e-108,-8.83357729760594e-108
-2.981996399279856,5.0,3.924966037226287e-105,-4.4734429788742183e-107,-7.427798781925963e-107
-2.980996199239848,5.0,3.30027136460256e-104,-3.761478409326682e-106,-6.245637678425967e-106
-2.97999599919984,5.0,2.7749588091951136e-103,-3.1627756157456682e-105,-5.251538860896239e-105
-2.978995799159832,5.0,2.3332247467591147e-102,-2.6593244897257607e-104,-4.415597954314394e-104
-2.977995599119824,5.0,1.961777512449262e-101,-2.2359774968638255e-103,-3.712663664338779e-103
-2.976995399079816,5.0,1.6494383065749917e-100,-1.8799948939779235e-102,-3.1215826458958745e-102
-2.975995199039808,5.0,1.3868054792558695e-99,-1.5806621663543717e-101,-2.6245642875202725e-101
-2.9749949989998,5.0,1.165972133472471e-98,-1.3289682215266783e-100,-2.2066463771985034e-100
